col1,col2,correlation
Online boarding,Departure/Arrival time convenient,-6.234597665827176E-4
Online boarding,Food and drink,0.013587184252904554
Online boarding,Gate location,-0.00304324139502728
Online boarding,Inflight wifi service,0.6317857895189604
Online boarding,Inflight entertainment,0.3557143037863402
Online boarding,Online support,0.6698428536103128
Online boarding,Ease of Online booking,0.6843202034135267
Online boarding,On-board service,0.13950576392456662
Online boarding,Leg room service,0.11290042550600306
Online boarding,Baggage handling,0.11192021457624837
Online boarding,Checkin service,0.1843444163951996
Online boarding,Cleanliness,0.1062376781256239
Online boarding,Online boarding,1.0
Online boarding,Departure Delay in Minutes,-0.020045042620194464
Online boarding,Arrival Delay in Minutes,-0.021757261578525908
Departure Delay in Minutes,Age,-0.009040585852670289
Departure Delay in Minutes,Flight Distance,0.11255544011217526
Departure Delay in Minutes,Seat comfort,-0.023817101588123484
Departure Delay in Minutes,Departure/Arrival time convenient,0.004395131278239802
Departure Delay in Minutes,Food and drink,-0.013432558997255416
Departure Delay in Minutes,Gate location,0.0039615420250027795
Departure Delay in Minutes,Inflight wifi service,-0.032900482660353045
Departure Delay in Minutes,Inflight entertainment,-0.030491429278929255
Departure Delay in Minutes,Online support,-0.03401768496099928
Departure Delay in Minutes,Ease of Online booking,-0.03654525718664046
Departure Delay in Minutes,On-board service,-0.03764094789855615
Departure Delay in Minutes,Leg room service,0.003659593253037032
Departure Delay in Minutes,Baggage handling,-0.00998511035594471
Departure Delay in Minutes,Checkin service,-0.020895741701441744
Departure Delay in Minutes,Cleanliness,-0.062134346060260116
Departure Delay in Minutes,Online boarding,-0.02004504262019447
Departure Delay in Minutes,Departure Delay in Minutes,1.0
Departure Delay in Minutes,Arrival Delay in Minutes,0.9593823533648642
Arrival Delay in Minutes,Age,-0.011205962237137962
Arrival Delay in Minutes,Flight Distance,0.10973348892055755
Arrival Delay in Minutes,Seat comfort,-0.025462637957648214
Arrival Delay in Minutes,Departure/Arrival time convenient,0.0024997521071358528
Arrival Delay in Minutes,Food and drink,-0.014845240469076478
Arrival Delay in Minutes,Gate location,0.0036198848763798097
Arrival Delay in Minutes,Inflight wifi service,-0.03519782828114211
Arrival Delay in Minutes,Inflight entertainment,-0.03318211126423685
Arrival Delay in Minutes,Online support,-0.03593999534299084
Arrival Delay in Minutes,Ease of Online booking,-0.039717129110942585
Arrival Delay in Minutes,On-board service,-0.041360402880938674
Arrival Delay in Minutes,Leg room service,5.369102881071684E-4
Arrival Delay in Minutes,Baggage handling,-0.01421185894757925
Arrival Delay in Minutes,Checkin service,-0.023841793784607445
Arrival Delay in Minutes,Cleanliness,-0.0670419817495239
Arrival Delay in Minutes,Online boarding,-0.021757261578525908
Arrival Delay in Minutes,Departure Delay in Minutes,0.9593823533648643
Arrival Delay in Minutes,Arrival Delay in Minutes,1.0
